year,ens,rcp,scen,usd_rub,ship_type,dir,section,value
2015,ens13,2p6,Pol,base,1A,West,NSR,15.947500708792122
2015,ens13,2p6,Pol,base,1A,West,non_NSR,861.4047700200518
2015,ens13,2p6,Pol,base,1AS,East,NSR,63.22286561889869
2015,ens13,2p6,Pol,base,1AS,East,non_NSR,85.21321625615153
2015,ens13,2p6,Pol,base,1AS,West,NSR,22.452165472990497
2015,ens13,2p6,Pol,base,1AS,West,non_NSR,1212.9395690841463
2015,ens13,2p6,Pol,discounted,1A,East,NSR,40.512111482442194
2015,ens13,2p6,Pol,discounted,1A,East,non_NSR,55.38606782156034
2015,ens13,2p6,Pol,discounted,1A,West,NSR,15.939710623985803
2015,ens13,2p6,Pol,discounted,1A,West,non_NSR,860.9838184257832
2015,ens13,2p6,Pol,discounted,1AS,East,NSR,63.123886185336254
2015,ens13,2p6,Pol,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens13,2p6,Pol,discounted,1AS,West,NSR,22.46921485628931
2015,ens13,2p6,Pol,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens13,2p6,Pol,high,1A,East,NSR,40.52288498894375
2015,ens13,2p6,Pol,high,1A,East,non_NSR,55.414175959879564
2015,ens13,2p6,Pol,high,1A,West,NSR,15.937595478072973
2015,ens13,2p6,Pol,high,1A,West,non_NSR,860.8695194728972
2015,ens13,2p6,Pol,high,1AS,East,NSR,63.280905588336864
2015,ens13,2p6,Pol,high,1AS,East,non_NSR,85.3462069415853
2015,ens13,2p6,Pol,high,1AS,West,NSR,22.442168814714044
2015,ens13,2p6,Pol,high,1AS,West,non_NSR,1212.3987756699387
2015,ens13,2p6,Pol,low,1A,East,NSR,40.09198883180241
2015,ens13,2p6,Pol,low,1A,East,non_NSR,54.2899230796157
2015,ens13,2p6,Pol,low,1A,West,NSR,16.02221522609814
2015,ens13,2p6,Pol,low,1A,West,non_NSR,865.4411821541411
2015,ens13,2p6,Pol,low,1AS,East,NSR,62.78248565645512
2015,ens13,2p6,Pol,low,1AS,East,non_NSR,84.20411198701755
2015,ens13,2p6,Pol,low,1AS,West,NSR,22.52803538989476
2015,ens13,2p6,Pol,low,1AS,West,non_NSR,1217.042991374335
2015,ens13,2p6,Ref,base,1A,East,NSR,40.47243391692503
2015,ens13,2p6,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens13,2p6,Ref,base,1A,West,NSR,15.947500708792122
2015,ens13,2p6,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens13,2p6,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens13,2p6,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens13,2p6,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens13,2p6,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens13,2p6,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens13,2p6,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens13,2p6,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens13,2p6,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens13,2p6,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens13,2p6,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens13,2p6,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens13,2p6,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens13,2p6,Ref,high,1A,East,NSR,40.52288498894375
2015,ens13,2p6,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens13,2p6,Ref,high,1A,West,NSR,15.937595478072973
2015,ens13,2p6,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens13,2p6,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens13,2p6,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens13,2p6,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens13,2p6,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens13,2p6,Ref,low,1A,East,NSR,40.09198883180241
2015,ens13,2p6,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens13,2p6,Ref,low,1A,West,NSR,16.02221522609814
2015,ens13,2p6,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens13,2p6,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens13,2p6,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens13,2p6,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens13,2p6,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens13,8p5,Ref,base,1A,East,NSR,40.47243391692503
2015,ens13,8p5,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens13,8p5,Ref,base,1A,West,NSR,15.947500708792122
2015,ens13,8p5,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens13,8p5,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens13,8p5,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens13,8p5,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens13,8p5,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens13,8p5,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens13,8p5,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens13,8p5,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens13,8p5,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens13,8p5,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens13,8p5,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens13,8p5,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens13,8p5,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens13,8p5,Ref,high,1A,East,NSR,40.52288498894375
2015,ens13,8p5,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens13,8p5,Ref,high,1A,West,NSR,15.937595478072973
2015,ens13,8p5,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens13,8p5,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens13,8p5,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens13,8p5,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens13,8p5,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens13,8p5,Ref,low,1A,East,NSR,40.09198883180241
2015,ens13,8p5,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens13,8p5,Ref,low,1A,West,NSR,16.02221522609814
2015,ens13,8p5,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens13,8p5,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens13,8p5,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens13,8p5,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens13,8p5,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens2,2p6,Pol,base,1A,East,NSR,40.47243391692503
2015,ens2,2p6,Pol,base,1A,East,non_NSR,55.28254836369442
2015,ens2,2p6,Pol,base,1A,West,NSR,15.947500708792122
2015,ens2,2p6,Pol,base,1A,West,non_NSR,861.4047700200518
2015,ens2,2p6,Pol,base,1AS,East,NSR,63.22286561889869
2015,ens2,2p6,Pol,base,1AS,East,non_NSR,85.21321625615153
2015,ens2,2p6,Pol,base,1AS,West,NSR,22.452165472990497
2015,ens2,2p6,Pol,base,1AS,West,non_NSR,1212.9395690841463
2015,ens2,2p6,Pol,discounted,1A,East,NSR,40.512111482442194
2015,ens2,2p6,Pol,discounted,1A,East,non_NSR,55.38606782156034
2015,ens2,2p6,Pol,discounted,1A,West,NSR,15.939710623985803
2015,ens2,2p6,Pol,discounted,1A,West,non_NSR,860.9838184257832
2015,ens2,2p6,Pol,discounted,1AS,East,NSR,63.123886185336254
2015,ens2,2p6,Pol,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens2,2p6,Pol,discounted,1AS,West,NSR,22.46921485628931
2015,ens2,2p6,Pol,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens2,2p6,Pol,high,1A,East,NSR,40.52288498894375
2015,ens2,2p6,Pol,high,1A,East,non_NSR,55.414175959879564
2015,ens2,2p6,Pol,high,1A,West,NSR,15.937595478072973
2015,ens2,2p6,Pol,high,1A,West,non_NSR,860.8695194728972
2015,ens2,2p6,Pol,high,1AS,East,NSR,63.280905588336864
2015,ens2,2p6,Pol,high,1AS,East,non_NSR,85.3462069415853
2015,ens2,2p6,Pol,high,1AS,West,NSR,22.442168814714044
2015,ens2,2p6,Pol,high,1AS,West,non_NSR,1212.3987756699387
2015,ens2,2p6,Pol,low,1A,East,NSR,40.09198883180241
2015,ens2,2p6,Pol,low,1A,East,non_NSR,54.2899230796157
2015,ens2,2p6,Pol,low,1A,West,NSR,16.02221522609814
2015,ens2,2p6,Pol,low,1A,West,non_NSR,865.4411821541411
2015,ens2,2p6,Pol,low,1AS,East,NSR,62.78248565645512
2015,ens2,2p6,Pol,low,1AS,East,non_NSR,84.20411198701755
2015,ens2,2p6,Pol,low,1AS,West,NSR,22.52803538989476
2015,ens2,2p6,Pol,low,1AS,West,non_NSR,1217.042991374335
2015,ens2,2p6,Ref,base,1A,East,NSR,40.47243391692503
2015,ens2,2p6,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens2,2p6,Ref,base,1A,West,NSR,15.947500708792122
2015,ens2,2p6,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens2,2p6,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens2,2p6,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens2,2p6,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens2,2p6,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens2,2p6,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens2,2p6,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens2,2p6,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens2,2p6,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens2,2p6,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens2,2p6,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens2,2p6,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens2,2p6,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens2,2p6,Ref,high,1A,East,NSR,40.52288498894375
2015,ens2,2p6,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens2,2p6,Ref,high,1A,West,NSR,15.937595478072973
2015,ens2,2p6,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens2,2p6,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens2,2p6,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens2,2p6,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens2,2p6,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens2,2p6,Ref,low,1A,East,NSR,40.09198883180241
2015,ens2,2p6,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens2,2p6,Ref,low,1A,West,NSR,16.02221522609814
2015,ens2,2p6,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens2,2p6,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens2,2p6,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens2,2p6,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens2,2p6,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens2,8p5,Ref,base,1A,East,NSR,40.47243391692503
2015,ens2,8p5,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens2,8p5,Ref,base,1A,West,NSR,15.947500708792122
2015,ens2,8p5,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens2,8p5,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens2,8p5,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens2,8p5,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens2,8p5,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens2,8p5,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens2,8p5,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens2,8p5,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens2,8p5,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens2,8p5,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens2,8p5,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens2,8p5,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens2,8p5,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens2,8p5,Ref,high,1A,East,NSR,40.52288498894375
2015,ens2,8p5,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens2,8p5,Ref,high,1A,West,NSR,15.937595478072973
2015,ens2,8p5,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens2,8p5,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens2,8p5,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens2,8p5,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens2,8p5,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens2,8p5,Ref,low,1A,East,NSR,40.09198883180241
2015,ens2,8p5,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens2,8p5,Ref,low,1A,West,NSR,16.02221522609814
2015,ens2,8p5,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens2,8p5,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens2,8p5,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens2,8p5,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens2,8p5,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens3,2p6,Pol,base,1A,East,NSR,40.47243391692503
2015,ens3,2p6,Pol,base,1A,East,non_NSR,55.28254836369442
2015,ens3,2p6,Pol,base,1A,West,NSR,15.947500708792122
2015,ens3,2p6,Pol,base,1A,West,non_NSR,861.4047700200518
2015,ens3,2p6,Pol,base,1AS,East,NSR,63.22286561889869
2015,ens3,2p6,Pol,base,1AS,East,non_NSR,85.21321625615153
2015,ens3,2p6,Pol,base,1AS,West,NSR,22.452165472990497
2015,ens3,2p6,Pol,base,1AS,West,non_NSR,1212.9395690841463
2015,ens3,2p6,Pol,discounted,1A,East,NSR,40.512111482442194
2015,ens3,2p6,Pol,discounted,1A,East,non_NSR,55.38606782156034
2015,ens3,2p6,Pol,discounted,1A,West,NSR,15.939710623985803
2015,ens3,2p6,Pol,discounted,1A,West,non_NSR,860.9838184257832
2015,ens3,2p6,Pol,discounted,1AS,East,NSR,63.123886185336254
2015,ens3,2p6,Pol,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens3,2p6,Pol,discounted,1AS,West,NSR,22.46921485628931
2015,ens3,2p6,Pol,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens3,2p6,Pol,high,1A,East,NSR,40.52288498894375
2015,ens3,2p6,Pol,high,1A,East,non_NSR,55.414175959879564
2015,ens3,2p6,Pol,high,1A,West,NSR,15.937595478072973
2015,ens3,2p6,Pol,high,1A,West,non_NSR,860.8695194728972
2015,ens3,2p6,Pol,high,1AS,East,NSR,63.280905588336864
2015,ens3,2p6,Pol,high,1AS,East,non_NSR,85.3462069415853
2015,ens3,2p6,Pol,high,1AS,West,NSR,22.442168814714044
2015,ens3,2p6,Pol,high,1AS,West,non_NSR,1212.3987756699387
2015,ens3,2p6,Pol,low,1A,East,NSR,40.09198883180241
2015,ens3,2p6,Pol,low,1A,East,non_NSR,54.2899230796157
2015,ens3,2p6,Pol,low,1A,West,NSR,16.02221522609814
2015,ens3,2p6,Pol,low,1A,West,non_NSR,865.4411821541411
2015,ens3,2p6,Pol,low,1AS,East,NSR,62.78248565645512
2015,ens3,2p6,Pol,low,1AS,East,non_NSR,84.20411198701755
2015,ens3,2p6,Pol,low,1AS,West,NSR,22.52803538989476
2015,ens3,2p6,Pol,low,1AS,West,non_NSR,1217.042991374335
2015,ens3,2p6,Ref,base,1A,East,NSR,40.47243391692503
2015,ens3,2p6,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens3,2p6,Ref,base,1A,West,NSR,15.947500708792122
2015,ens3,2p6,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens3,2p6,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens3,2p6,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens3,2p6,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens3,2p6,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens3,2p6,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens3,2p6,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens3,2p6,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens3,2p6,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens3,2p6,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens3,2p6,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens3,2p6,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens3,2p6,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens3,2p6,Ref,high,1A,East,NSR,40.52288498894375
2015,ens3,2p6,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens3,2p6,Ref,high,1A,West,NSR,15.937595478072973
2015,ens3,2p6,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens3,2p6,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens3,2p6,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens3,2p6,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens3,2p6,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens3,2p6,Ref,low,1A,East,NSR,40.09198883180241
2015,ens3,2p6,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens3,2p6,Ref,low,1A,West,NSR,16.02221522609814
2015,ens3,2p6,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens3,2p6,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens3,2p6,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens3,2p6,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens3,2p6,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens3,8p5,Ref,base,1A,East,NSR,40.47243391692503
2015,ens3,8p5,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens3,8p5,Ref,base,1A,West,NSR,15.947500708792122
2015,ens3,8p5,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens3,8p5,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens3,8p5,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens3,8p5,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens3,8p5,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens3,8p5,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens3,8p5,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens3,8p5,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens3,8p5,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens3,8p5,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens3,8p5,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens3,8p5,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens3,8p5,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens3,8p5,Ref,high,1A,East,NSR,40.52288498894375
2015,ens3,8p5,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens3,8p5,Ref,high,1A,West,NSR,15.937595478072973
2015,ens3,8p5,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens3,8p5,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens3,8p5,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens3,8p5,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens3,8p5,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens3,8p5,Ref,low,1A,East,NSR,40.09198883180241
2015,ens3,8p5,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens3,8p5,Ref,low,1A,West,NSR,16.02221522609814
2015,ens3,8p5,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens3,8p5,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens3,8p5,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens3,8p5,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens3,8p5,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens4,2p6,Pol,base,1A,East,NSR,40.47243391692503
2015,ens4,2p6,Pol,base,1A,East,non_NSR,55.28254836369442
2015,ens4,2p6,Pol,base,1A,West,NSR,15.947500708792122
2015,ens4,2p6,Pol,base,1A,West,non_NSR,861.4047700200518
2015,ens4,2p6,Pol,base,1AS,East,NSR,63.22286561889869
2015,ens4,2p6,Pol,base,1AS,East,non_NSR,85.21321625615153
2015,ens4,2p6,Pol,base,1AS,West,NSR,22.452165472990497
2015,ens4,2p6,Pol,base,1AS,West,non_NSR,1212.9395690841463
2015,ens4,2p6,Pol,discounted,1A,East,NSR,40.512111482442194
2015,ens4,2p6,Pol,discounted,1A,East,non_NSR,55.38606782156034
2015,ens4,2p6,Pol,discounted,1A,West,NSR,15.939710623985803
2015,ens4,2p6,Pol,discounted,1A,West,non_NSR,860.9838184257832
2015,ens4,2p6,Pol,discounted,1AS,East,NSR,63.123886185336254
2015,ens4,2p6,Pol,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens4,2p6,Pol,discounted,1AS,West,NSR,22.46921485628931
2015,ens4,2p6,Pol,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens4,2p6,Pol,high,1A,East,NSR,40.52288498894375
2015,ens4,2p6,Pol,high,1A,East,non_NSR,55.414175959879564
2015,ens4,2p6,Pol,high,1A,West,NSR,15.937595478072973
2015,ens4,2p6,Pol,high,1A,West,non_NSR,860.8695194728972
2015,ens4,2p6,Pol,high,1AS,East,NSR,63.280905588336864
2015,ens4,2p6,Pol,high,1AS,East,non_NSR,85.3462069415853
2015,ens4,2p6,Pol,high,1AS,West,NSR,22.442168814714044
2015,ens4,2p6,Pol,high,1AS,West,non_NSR,1212.3987756699387
2015,ens4,2p6,Pol,low,1A,East,NSR,40.09198883180241
2015,ens4,2p6,Pol,low,1A,East,non_NSR,54.2899230796157
2015,ens4,2p6,Pol,low,1A,West,NSR,16.02221522609814
2015,ens4,2p6,Pol,low,1A,West,non_NSR,865.4411821541411
2015,ens4,2p6,Pol,low,1AS,East,NSR,62.78248565645512
2015,ens4,2p6,Pol,low,1AS,East,non_NSR,84.20411198701755
2015,ens4,2p6,Pol,low,1AS,West,NSR,22.52803538989476
2015,ens4,2p6,Pol,low,1AS,West,non_NSR,1217.042991374335
2015,ens4,2p6,Ref,base,1A,East,NSR,40.47243391692503
2015,ens4,2p6,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens4,2p6,Ref,base,1A,West,NSR,15.947500708792122
2015,ens4,2p6,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens4,2p6,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens4,2p6,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens4,2p6,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens4,2p6,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens4,2p6,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens4,2p6,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens4,2p6,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens4,2p6,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens4,2p6,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens4,2p6,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens4,2p6,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens4,2p6,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens4,2p6,Ref,high,1A,East,NSR,40.52288498894375
2015,ens4,2p6,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens4,2p6,Ref,high,1A,West,NSR,15.937595478072973
2015,ens4,2p6,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens4,2p6,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens4,2p6,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens4,2p6,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens4,2p6,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens4,2p6,Ref,low,1A,East,NSR,40.09198883180241
2015,ens4,2p6,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens4,2p6,Ref,low,1A,West,NSR,16.02221522609814
2015,ens4,2p6,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens4,2p6,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens4,2p6,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens4,2p6,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens4,2p6,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens4,8p5,Ref,base,1A,East,NSR,40.47243391692503
2015,ens4,8p5,Ref,base,1A,East,non_NSR,55.28254836369442
2015,ens4,8p5,Ref,base,1A,West,NSR,15.947500708792122
2015,ens4,8p5,Ref,base,1A,West,non_NSR,861.4047700200518
2015,ens4,8p5,Ref,base,1AS,East,NSR,63.22286561889869
2015,ens4,8p5,Ref,base,1AS,East,non_NSR,85.21321625615153
2015,ens4,8p5,Ref,base,1AS,West,NSR,22.452165472990497
2015,ens4,8p5,Ref,base,1AS,West,non_NSR,1212.9395690841463
2015,ens4,8p5,Ref,discounted,1A,East,NSR,40.512111482442194
2015,ens4,8p5,Ref,discounted,1A,East,non_NSR,55.38606782156034
2015,ens4,8p5,Ref,discounted,1A,West,NSR,15.939710623985803
2015,ens4,8p5,Ref,discounted,1A,West,non_NSR,860.9838184257832
2015,ens4,8p5,Ref,discounted,1AS,East,NSR,63.123886185336254
2015,ens4,8p5,Ref,discounted,1AS,East,non_NSR,84.98641598789456
2015,ens4,8p5,Ref,discounted,1AS,West,NSR,22.46921485628931
2015,ens4,8p5,Ref,discounted,1AS,West,non_NSR,1213.8618298501076
2015,ens4,8p5,Ref,high,1A,East,NSR,40.52288498894375
2015,ens4,8p5,Ref,high,1A,East,non_NSR,55.414175959879564
2015,ens4,8p5,Ref,high,1A,West,NSR,15.937595478072973
2015,ens4,8p5,Ref,high,1A,West,non_NSR,860.8695194728972
2015,ens4,8p5,Ref,high,1AS,East,NSR,63.280905588336864
2015,ens4,8p5,Ref,high,1AS,East,non_NSR,85.3462069415853
2015,ens4,8p5,Ref,high,1AS,West,NSR,22.442168814714044
2015,ens4,8p5,Ref,high,1AS,West,non_NSR,1212.3987756699387
2015,ens4,8p5,Ref,low,1A,East,NSR,40.09198883180241
2015,ens4,8p5,Ref,low,1A,East,non_NSR,54.2899230796157
2015,ens4,8p5,Ref,low,1A,West,NSR,16.02221522609814
2015,ens4,8p5,Ref,low,1A,West,non_NSR,865.4411821541411
2015,ens4,8p5,Ref,low,1AS,East,NSR,62.78248565645512
2015,ens4,8p5,Ref,low,1AS,East,non_NSR,84.20411198701755
2015,ens4,8p5,Ref,low,1AS,West,NSR,22.52803538989476
2015,ens4,8p5,Ref,low,1AS,West,non_NSR,1217.042991374335
2015,ens5,2p6,Pol,base,1A,East,NSR,40.47243391692503
2015,ens5,2p6,Pol,base,1A,East,non_NSR,55.28254836369442
2015,ens5,2p6,Pol,base,1A,West,NSR,15.947500708792122
2015,ens5,2p6,Pol,base,1A,West,non_NSR,861.4047700200518
2015,ens5,2p6,Pol,base,1AS,East,NSR,63.22286561889869
